gender,race/ethnicity,parental level of education,lunch,test preparation course,reading score,writing score,outcome
male,group C,some college,standard,none,49,42,0
male,group B,high school,standard,none,46,42,0
female,group D,some high school,standard,none,84,85,1
male,group D,some college,free/reduced,none,61,60,0
female,group A,some college,standard,none,84,82,0
female,group C,some college,free/reduced,completed,66,69,0
female,group B,high school,free/reduced,completed,85,82,1
male,group A,master's degree,free/reduced,none,74,72,1
male,group E,associate's degree,standard,none,74,76,1
female,group D,associate's degree,free/reduced,none,76,76,0
female,group A,some college,standard,completed,87,91,1
male,group D,some college,standard,none,57,58,1
female,group C,associate's degree,standard,completed,67,73,0
female,group B,high school,standard,completed,83,78,0
female,group D,some college,free/reduced,completed,78,76,0
female,group E,associate's degree,free/reduced,completed,68,73,0
female,group C,some high school,standard,completed,54,67,0
female,group B,bachelor's degree,standard,none,72,70,0
male,group C,high school,standard,none,60,61,1
male,group C,associate's degree,standard,completed,87,90,1
male,group A,bachelor's degree,standard,none,60,58,0
male,group B,some college,standard,completed,75,70,1
female,group B,some college,free/reduced,completed,75,70,0
male,group C,some high school,standard,completed,80,73,1
female,group E,associate's degree,standard,completed,100,95,1
male,group C,some high school,standard,completed,73,68,0
female,group C,associate's degree,standard,none,86,84,1
male,group C,high school,free/reduced,none,60,55,0
female,group D,some high school,standard,none,97,96,1
male,group D,bachelor's degree,standard,completed,74,74,0
female,group D,some college,free/reduced,none,74,75,0
female,group D,some college,standard,none,77,77,0
female,group C,some college,free/reduced,completed,75,70,0
male,group B,associate's degree,standard,none,42,41,0
female,group B,some high school,free/reduced,completed,67,72,0
male,group A,associate's degree,free/reduced,none,57,44,0
male,group E,some high school,standard,completed,64,60,1
male,group D,master's degree,standard,none,81,84,1
male,group A,some college,free/reduced,none,81,74,1
male,group E,some college,free/reduced,completed,52,51,0
male,group D,some high school,standard,none,66,61,0
male,group D,associate's degree,free/reduced,completed,82,80,1
male,group B,some college,free/reduced,completed,62,60,0
male,group C,high school,free/reduced,none,66,59,0
female,group C,some college,standard,completed,93,93,1
female,group A,some college,free/reduced,none,60,57,0
female,group C,some high school,free/reduced,none,50,51,0
male,group C,high school,standard,none,89,86,1
male,group C,some high school,standard,none,64,55,0
female,group D,bachelor's degree,standard,none,82,79,1
female,group D,some college,free/reduced,none,65,61,0
male,group E,high school,standard,none,76,65,1
female,group C,master's degree,free/reduced,none,65,61,0
female,group E,some college,standard,none,92,97,1
male,group C,some college,standard,none,41,42,0
male,group E,associate's degree,free/reduced,completed,100,93,1
female,group D,master's degree,standard,completed,71,74,1
